legacy_id,name,phone,email,address,rfc,notes,is_active
28,DEMO,(000) 000-00-00,,0000,000,Razon social origen: 0000 | CP origen: 0 | Fecha alta origen: 2025-06-05,false
29,ESTRIBADORA DEGOLLADO,(348) 121-49-96,AIMEEGLEZ93@HOTMAIL.COM,KM 4.5,,Razon social origen: GORA930604IA8 | CP origen: 47980 | Fecha alta origen: 2025-07-09,true
30,APLOZA,(111) 111-11-11,,ZAMORA,,Razon social origen: CPL080121L67 | Correo origen: COMERCIALPLOCER | CP origen: 59698 | Fecha alta origen: 2025-07-09,true
31,TRUPER 25/24,(477) 763-70-52,AIMEEGLEZ93@HOTMAIL.COM,ZAMORA,,Razon social origen: PEPETRUPER | CP origen: 876789 | Fecha alta origen: 2025-07-09,true
32,POLITUBO,(348) 788-47-05,POLITUBO@POLITUBO.COM,KM 2 CARRETERA ARANDAS LEON SN,,Razon social origen: TPA941226462 | CP origen: 47180 | Fecha alta origen: 2025-07-18,true
33,SURTIDORA GONZALEZ,(378) 888-55-80,,CD MEX,,Razon social origen: 0000000000000000 | Correo origen: AIMEEGKEZ93@JJHDSYF | CP origen: 0 | Fecha alta origen: 2025-07-18,true
34,EL TORNILLO,(477) 788-85-00,AIMEEGLEZ93@HOTMAIL.COM,DEGOLLADO JAL,,Razon social origen: TOR920811LC2 | CP origen: 47980 | Fecha alta origen: 2025-07-18,true
35,MAYOREO CARDENAS,(477) 266-28-18,,JESUS MARIA,,Razon social origen: MAYOREO CARDENAS | CP origen: 47950 | Fecha alta origen: 2025-07-22,true
36,ACEROS AYOTLAN,(348) 918-03-63,,AYOTLAN,,Razon social origen: ACEROS AYOTLAN | CP origen: 47930 | Fecha alta origen: 2025-07-22,true
37,FERRUSA,(378) 712-16-80,,CAPILLA DE GUADALUPE,,Razon social origen: FERRUSA | CP origen: 47700 | Fecha alta origen: 2025-07-26,true
38,SERVI CASA,(477) 707-26-04,,LEON GUANAJUATO,,Razon social origen: SERVI CASA | CP origen: 37530 | Fecha alta origen: 2025-07-29,true
39,LION TOOLS,(331) 304-49-66,,LEON,,Razon social origen: LION TOOLS | CP origen: 37000 | Fecha alta origen: 2025-09-03,true
40,EL CARACOL,(348) 100-26-95,,AYOTLAN,,Razon social origen: EL CARACOL | CP origen: 0 | Fecha alta origen: 2025-10-03,true
